PIXEL,LABEL
130126,Moon Township
130127,Edgeworth Borough
130127,Moon Township
130127,Sewickley Borough
130128,Moon Township
130128,Sewickley Borough
130129,Moon Township
130130,Moon Township
130131,Moon Township
130132,Moon Township
130133,Moon Township
130134,Moon Township
130135,Findlay Township
130135,Moon Township
130136,Findlay Township
130136,Moon Township
130136,North Fayette Township
130137,Findlay Township
130137,North Fayette Township
130138,North Fayette Township
130139,North Fayette Township
130140,North Fayette Township
130141,North Fayette Township
130142,North Fayette Township
130142,Oakdale Borough
130143,North Fayette Township
130143,Oakdale Borough
130143,South Fayette Township
130144,South Fayette Township
130145,South Fayette Township
130146,South Fayette Township
130147,South Fayette Township
130148,South Fayette Township
130149,South Fayette Township
130150,South Fayette Township
130151,
131118,
131119,Bell Acres Borough
131120,Bell Acres Borough
131121,Bell Acres Borough
131122,Bell Acres Borough
131123,Bell Acres Borough
131123,Sewickley Heights Borough
131124,Bell Acres Borough
131124,Edgeworth Borough
131124,Leet Township
131124,Sewickley Heights Borough
131125,Edgeworth Borough
131125,Sewickley Heights Borough
131126,Edgeworth Borough
131126,Sewickley Borough
131126,Sewickley Heights Borough
131127,Edgeworth Borough
131127,Sewickley Borough
131127,Sewickley Heights Borough
131128,Glen Osborne Borough
131128,Moon Township
131128,Sewickley Borough
131129,Coraopolis Borough
131129,Moon Township
131130,Coraopolis Borough
131130,Moon Township
131131,Moon Township
131132,Moon Township
131133,Moon Township
131134,Moon Township
131135,Moon Township
131136,Moon Township
131136,North Fayette Township
131137,North Fayette Township
131138,North Fayette Township
131139,North Fayette Township
131140,North Fayette Township
131141,North Fayette Township
131142,North Fayette Township
131142,Oakdale Borough
131142,South Fayette Township
131143,North Fayette Township
131143,Oakdale Borough
131143,South Fayette Township
131144,South Fayette Township
131145,South Fayette Township
131146,South Fayette Township
131147,South Fayette Township
131148,South Fayette Township
131149,South Fayette Township
131150,South Fayette Township
131151,South Fayette Township
131152,
132118,
132119,Bell Acres Borough
132120,Bell Acres Borough
132121,Bell Acres Borough
132122,Bell Acres Borough
132123,Bell Acres Borough
132123,Sewickley Heights Borough
132124,Sewickley Heights Borough
132125,Sewickley Heights Borough
132126,Sewickley Borough
132126,Sewickley Heights Borough
132127,Aleppo Township
132127,Glen Osborne Borough
132127,Sewickley Borough
132127,Sewickley Heights Borough
132128,Aleppo Township
132128,Coraopolis Borough
132128,Glen Osborne Borough
132128,Moon Township
132128,Sewickley Borough
132129,Coraopolis Borough
132129,Glen Osborne Borough
132129,Moon Township
132130,Coraopolis Borough
132130,Moon Township
132131,Coraopolis Borough
132131,Moon Township
132132,Moon Township
132133,Moon Township
132134,Moon Township
132135,Moon Township
132136,Moon Township
132136,North Fayette Township
132136,Robinson Township
132137,North Fayette Township
132137,Robinson Township
132138,North Fayette Township
132138,Robinson Township
132139,North Fayette Township
132139,Robinson Township
132140,Collier Township
132140,North Fayette Township
132140,Robinson Township
132141,Collier Township
132141,North Fayette Township
132142,Collier Township
132142,North Fayette Township
132142,South Fayette Township
132143,Collier Township
132143,North Fayette Township
132143,South Fayette Township
132144,Collier Township
132144,South Fayette Township
132145,Collier Township
132145,South Fayette Township
132146,South Fayette Township
132147,South Fayette Township
132148,South Fayette Township
132149,South Fayette Township
132150,South Fayette Township
132151,South Fayette Township
132152,
133112,
133113,
133114,
133115,
133116,
133117,
133118,
133119,Bell Acres Borough
133119,Franklin Park Borough
133120,Bell Acres Borough
133120,Franklin Park Borough
133121,Bell Acres Borough
133122,Bell Acres Borough
